"timeMillisSpent","score"
581,"0hard/-244360soft"
601,"0hard/-243840soft"
624,"0hard/-243360soft"
660,"0hard/-243010soft"
671,"0hard/-242530soft"
691,"0hard/-242180soft"
702,"0hard/-242140soft"
743,"0hard/-241790soft"
775,"0hard/-241440soft"
781,"0hard/-241090soft"
794,"0hard/-240740soft"
801,"0hard/-240220soft"
819,"0hard/-239740soft"
823,"0hard/-239390soft"
837,"0hard/-239040soft"
859,"0hard/-238690soft"
887,"0hard/-238210soft"
890,"0hard/-237240soft"
913,"0hard/-236760soft"
920,"0hard/-236100soft"
938,"0hard/-235750soft"
945,"0hard/-235300soft"
954,"0hard/-234950soft"
956,"0hard/-234530soft"
961,"0hard/-234180soft"
980,"0hard/-233660soft"
987,"0hard/-232790soft"
996,"0hard/-232440soft"
1015,"0hard/-232090soft"
1017,"0hard/-231330soft"
1028,"0hard/-230810soft"
1044,"0hard/-230360soft"
1061,"0hard/-229940soft"
1111,"0hard/-229730soft"
1122,"0hard/-229380soft"
1129,"0hard/-229340soft"
1145,"0hard/-228550soft"
1167,"0hard/-228200soft"
1191,"0hard/-227850soft"
1193,"0hard/-227470soft"
1196,"0hard/-227080soft"
1212,"0hard/-225480soft"
1224,"0hard/-225090soft"
1255,"0hard/-224470soft"
1290,"0hard/-224120soft"
1323,"0hard/-223770soft"
1367,"0hard/-223170soft"
1425,"0hard/-222820soft"
1433,"0hard/-222370soft"
1476,"0hard/-222250soft"
1478,"0hard/-221610soft"
1490,"0hard/-221130soft"
1528,"0hard/-221090soft"
1611,"0hard/-220330soft"
1617,"0hard/-219710soft"
1687,"0hard/-218960soft"
1716,"0hard/-218860soft"
1798,"0hard/-218300soft"
1867,"0hard/-217740soft"
1869,"0hard/-217250soft"
1884,"0hard/-216530soft"
1957,"0hard/-216490soft"
1971,"0hard/-215930soft"
1973,"0hard/-214860soft"
1979,"0hard/-214080soft"
1999,"0hard/-213900soft"
2148,"0hard/-213860soft"
2169,"0hard/-213220soft"
2198,"0hard/-213120soft"
2249,"0hard/-212340soft"
2410,"0hard/-211950soft"
2549,"0hard/-211840soft"
2615,"0hard/-211120soft"
2641,"0hard/-210370soft"
2707,"0hard/-209920soft"
3085,"0hard/-209470soft"
3345,"0hard/-209300soft"
3410,"0hard/-209090soft"
3430,"0hard/-209030soft"
3456,"0hard/-208680soft"
3492,"0hard/-208600soft"
3526,"0hard/-208560soft"
3872,"0hard/-208000soft"
3961,"0hard/-207130soft"
4645,"0hard/-206910soft"
4652,"0hard/-206830soft"
4661,"0hard/-206440soft"
4684,"0hard/-206340soft"
4932,"0hard/-205960soft"
5033,"0hard/-205840soft"
5045,"0hard/-205770soft"
5082,"0hard/-205280soft"
5564,"0hard/-204930soft"
6430,"0hard/-204680soft"
6614,"0hard/-204330soft"
6801,"0hard/-204230soft"
7395,"0hard/-203920soft"
7414,"0hard/-203570soft"
10684,"0hard/-203460soft"
10692,"0hard/-203010soft"
11868,"0hard/-202700soft"
12015,"0hard/-202660soft"
13153,"0hard/-202620soft"
13674,"0hard/-202600soft"
13687,"0hard/-202480soft"
14201,"0hard/-202440soft"
17627,"0hard/-202260soft"
17657,"0hard/-202130soft"
18001,"0hard/-202090soft"
27656,"0hard/-201990soft"
27985,"0hard/-201660soft"
28014,"0hard/-201310soft"
28634,"0hard/-201230soft"
28668,"0hard/-201130soft"
29079,"0hard/-201060soft"
29381,"0hard/-201040soft"
29391,"0hard/-200900soft"
29405,"0hard/-200830soft"
29428,"0hard/-200730soft"
29436,"0hard/-200380soft"
31415,"0hard/-200300soft"
31733,"0hard/-199950soft"
33671,"0hard/-199870soft"
35013,"0hard/-199830soft"
37604,"0hard/-199720soft"
39205,"0hard/-199660soft"
39225,"0hard/-199270soft"
45104,"0hard/-199170soft"
53378,"0hard/-199130soft"
53380,"0hard/-198850soft"
53407,"0hard/-198820soft"
53508,"0hard/-198470soft"
63415,"0hard/-198450soft"
64010,"0hard/-198370soft"
72233,"0hard/-198190soft"
79250,"0hard/-198000soft"
79383,"0hard/-197920soft"
79409,"0hard/-197880soft"
79630,"0hard/-197810soft"
79649,"0hard/-197770soft"
79778,"0hard/-197320soft"
88647,"0hard/-197290soft"
100474,"0hard/-197120soft"
103505,"0hard/-197080soft"
103600,"0hard/-197040soft"
103805,"0hard/-196980soft"
103955,"0hard/-196940soft"
107004,"0hard/-196490soft"
107740,"0hard/-196460soft"
107797,"0hard/-196110soft"
111585,"0hard/-196090soft"
115013,"0hard/-195990soft"
117806,"0hard/-195640soft"
117921,"0hard/-195560soft"
117941,"0hard/-195530soft"
122033,"0hard/-195430soft"
134427,"0hard/-195330soft"
134461,"0hard/-195260soft"
136294,"0hard/-195200soft"
136299,"0hard/-195160soft"
164805,"0hard/-194810soft"
