"timeMillisSpent","score"
455,"-83hard/-6253soft"
546,"-42hard/-6303soft"
621,"-34hard/-8581soft"
741,"-5hard/-8581soft"
825,"0hard/-8777soft"
916,"0hard/-6942soft"
1005,"0hard/-6603soft"
1102,"0hard/-5082soft"
1197,"0hard/-5013soft"
1283,"0hard/-4846soft"
1360,"0hard/-4685soft"
1448,"0hard/-4640soft"
1533,"0hard/-4620soft"
1608,"0hard/-4585soft"
1696,"0hard/-4486soft"
1781,"0hard/-4474soft"
1863,"0hard/-4434soft"
1952,"0hard/-4410soft"
2089,"0hard/-4371soft"
2176,"0hard/-4361soft"
2260,"0hard/-4357soft"
2341,"0hard/-4346soft"
2419,"0hard/-4322soft"
2494,"0hard/-4312soft"
2569,"0hard/-4302soft"
2643,"0hard/-4301soft"
2721,"0hard/-4298soft"
2804,"0hard/-4296soft"
2879,"0hard/-4294soft"
2961,"0hard/-4288soft"
3041,"0hard/-4276soft"
3121,"0hard/-4266soft"
3195,"0hard/-4265soft"
3269,"0hard/-4205soft"
3379,"0hard/-4203soft"
3452,"0hard/-4201soft"
3531,"0hard/-4200soft"
3692,"0hard/-4199soft"
3769,"0hard/-4198soft"
3853,"0hard/-4196soft"
3939,"0hard/-4195soft"
4021,"0hard/-4194soft"
4095,"0hard/-4176soft"
4174,"0hard/-4174soft"
4257,"0hard/-4173soft"
4472,"0hard/-4172soft"
4810,"0hard/-4167soft"
4892,"0hard/-4165soft"
4972,"0hard/-4161soft"
5053,"0hard/-4160soft"
5137,"0hard/-4154soft"
5219,"0hard/-4151soft"
5306,"0hard/-4150soft"
5468,"0hard/-4148soft"
5622,"0hard/-4146soft"
5695,"0hard/-4136soft"
5881,"0hard/-4135soft"
6105,"0hard/-4134soft"
6489,"0hard/-4131soft"
6878,"0hard/-4129soft"
7452,"0hard/-4116soft"
7532,"0hard/-4114soft"
7627,"0hard/-4113soft"
8021,"0hard/-4112soft"
8189,"0hard/-4111soft"
8272,"0hard/-4110soft"
8687,"0hard/-4109soft"
8843,"0hard/-4107soft"
10047,"0hard/-4106soft"
10122,"0hard/-4097soft"
11181,"0hard/-4096soft"
11259,"0hard/-4091soft"
11746,"0hard/-4087soft"
12448,"0hard/-4086soft"
12630,"0hard/-4084soft"
12716,"0hard/-4083soft"
13140,"0hard/-4077soft"
14049,"0hard/-4076soft"
14126,"0hard/-4074soft"
15095,"0hard/-4070soft"
15172,"0hard/-4060soft"
15402,"0hard/-4059soft"
15873,"0hard/-4053soft"
15954,"0hard/-4052soft"
16445,"0hard/-4051soft"
20525,"0hard/-4050soft"
22103,"0hard/-4044soft"
22182,"0hard/-4043soft"
22650,"0hard/-4040soft"
22958,"0hard/-4039soft"
23572,"0hard/-4036soft"
25361,"0hard/-4035soft"
27749,"0hard/-4034soft"
28586,"0hard/-4032soft"
28663,"0hard/-4029soft"
30741,"0hard/-4025soft"
30899,"0hard/-4023soft"
30971,"0hard/-4022soft"
31127,"0hard/-4020soft"
31277,"0hard/-4008soft"
31690,"0hard/-4007soft"
32082,"0hard/-4006soft"
32615,"0hard/-4002soft"
32785,"0hard/-3984soft"
33018,"0hard/-3983soft"
33481,"0hard/-3982soft"
33715,"0hard/-3967soft"
34872,"0hard/-3966soft"
35562,"0hard/-3965soft"
35641,"0hard/-3954soft"
35800,"0hard/-3953soft"
36028,"0hard/-3947soft"
36328,"0hard/-3945soft"
38981,"0hard/-3935soft"
39286,"0hard/-3903soft"
39516,"0hard/-3902soft"
39590,"0hard/-3897soft"
39749,"0hard/-3895soft"
40845,"0hard/-3891soft"
44609,"0hard/-3888soft"
46011,"0hard/-3886soft"
49630,"0hard/-3881soft"
50023,"0hard/-3875soft"
50351,"0hard/-3874soft"
50798,"0hard/-3873soft"
50946,"0hard/-3872soft"
51024,"0hard/-3864soft"
57567,"0hard/-3863soft"
58813,"0hard/-3769soft"
59581,"0hard/-3759soft"
65286,"0hard/-3729soft"
65360,"0hard/-3728soft"
65516,"0hard/-3727soft"
66250,"0hard/-3725soft"
68447,"0hard/-3722soft"
69351,"0hard/-3716soft"
75046,"0hard/-3712soft"
84678,"0hard/-3709soft"
85142,"0hard/-3707soft"
94024,"0hard/-3706soft"
98390,"0hard/-3697soft"
104964,"0hard/-3696soft"
137836,"0hard/-3695soft"
138961,"0hard/-3694soft"
154158,"0hard/-3693soft"
165732,"0hard/-3688soft"
184105,"0hard/-3687soft"
222428,"0hard/-3686soft"
266418,"0hard/-3681soft"
