"timeMillisSpent","score"
1320,"0hard/-1075950soft"
1331,"0hard/-1075600soft"
1334,"0hard/-1075250soft"
1335,"0hard/-1074820soft"
1337,"0hard/-1074030soft"
1338,"0hard/-1073610soft"
1343,"0hard/-1073310soft"
1344,"0hard/-1072920soft"
1344,"0hard/-1072470soft"
1345,"0hard/-1071690soft"
1346,"0hard/-1070810soft"
1348,"0hard/-1070670soft"
1349,"0hard/-1070280soft"
1356,"0hard/-1069930soft"
1358,"0hard/-1069410soft"
1362,"0hard/-1069370soft"
1363,"0hard/-1068920soft"
1363,"0hard/-1068400soft"
1376,"0hard/-1068360soft"
1376,"0hard/-1067980soft"
1384,"0hard/-1067750soft"
1385,"0hard/-1067270soft"
1394,"0hard/-1067130soft"
1395,"0hard/-1066740soft"
1401,"0hard/-1066670soft"
1405,"0hard/-1066250soft"
1405,"0hard/-1065860soft"
1406,"0hard/-1065440soft"
1406,"0hard/-1065260soft"
1407,"0hard/-1064910soft"
1408,"0hard/-1064810soft"
1418,"0hard/-1064430soft"
1420,"0hard/-1063850soft"
1421,"0hard/-1063500soft"
1422,"0hard/-1063150soft"
1431,"0hard/-1062850soft"
1436,"0hard/-1062610soft"
1436,"0hard/-1062260soft"
1445,"0hard/-1061910soft"
1446,"0hard/-1061560soft"
1456,"0hard/-1061480soft"
1459,"0hard/-1061470soft"
1462,"0hard/-1061280soft"
1464,"0hard/-1060930soft"
1468,"0hard/-1060830soft"
1474,"0hard/-1060400soft"
1475,"0hard/-1059950soft"
1477,"0hard/-1059700soft"
1479,"0hard/-1059100soft"
1479,"0hard/-1058680soft"
1481,"0hard/-1058650soft"
1482,"0hard/-1058420soft"
1483,"0hard/-1058040soft"
1484,"0hard/-1058010soft"
1500,"0hard/-1057820soft"
1509,"0hard/-1057610soft"
1509,"0hard/-1057480soft"
1528,"0hard/-1057470soft"
1530,"0hard/-1057410soft"
1531,"0hard/-1056960soft"
1531,"0hard/-1056480soft"
1532,"0hard/-1056130soft"
1541,"0hard/-1055930soft"
1544,"0hard/-1055910soft"
1554,"0hard/-1055670soft"
1554,"0hard/-1055390soft"
1563,"0hard/-1055120soft"
1568,"0hard/-1054510soft"
1572,"0hard/-1054130soft"
1572,"0hard/-1053780soft"
1573,"0hard/-1053430soft"
1602,"0hard/-1052890soft"
1620,"0hard/-1052830soft"
1626,"0hard/-1052820soft"
1628,"0hard/-1052470soft"
1633,"0hard/-1052030soft"
1641,"0hard/-1051900soft"
1641,"0hard/-1051510soft"
1668,"0hard/-1051470soft"
1668,"0hard/-1051120soft"
1682,"0hard/-1050680soft"
1691,"0hard/-1050600soft"
1692,"0hard/-1050560soft"
1711,"0hard/-1050420soft"
1733,"0hard/-1050330soft"
1737,"0hard/-1050090soft"
1739,"0hard/-1049810soft"
1740,"0hard/-1049420soft"
1740,"0hard/-1049290soft"
1740,"0hard/-1048630soft"
1744,"0hard/-1048400soft"
1744,"0hard/-1047920soft"
1804,"0hard/-1047750soft"
1826,"0hard/-1047740soft"
1828,"0hard/-1047430soft"
1829,"0hard/-1047290soft"
1845,"0hard/-1047230soft"
1862,"0hard/-1047080soft"
1868,"0hard/-1046980soft"
1876,"0hard/-1046960soft"
1876,"0hard/-1046610soft"
1884,"0hard/-1046500soft"
1888,"0hard/-1046160soft"
1916,"0hard/-1046080soft"
1918,"0hard/-1045780soft"
1919,"0hard/-1045580soft"
1926,"0hard/-1045510soft"
1926,"0hard/-1044950soft"
1945,"0hard/-1044850soft"
1946,"0hard/-1044400soft"
1954,"0hard/-1044090soft"
1954,"0hard/-1043740soft"
2030,"0hard/-1043600soft"
2030,"0hard/-1043180soft"
2043,"0hard/-1043160soft"
2045,"0hard/-1042980soft"
2045,"0hard/-1042500soft"
2090,"0hard/-1042380soft"
2090,"0hard/-1042030soft"
2118,"0hard/-1041670soft"
2118,"0hard/-1041290soft"
2139,"0hard/-1041250soft"
2159,"0hard/-1040840soft"
2162,"0hard/-1040770soft"
2194,"0hard/-1040570soft"
2200,"0hard/-1040260soft"
2218,"0hard/-1040250soft"
2228,"0hard/-1040180soft"
2229,"0hard/-1040050soft"
2233,"0hard/-1040010soft"
2237,"0hard/-1039930soft"
2240,"0hard/-1039910soft"
2240,"0hard/-1039560soft"
2248,"0hard/-1038960soft"
2261,"0hard/-1038720soft"
2263,"0hard/-1038680soft"
2265,"0hard/-1038560soft"
2295,"0hard/-1038420soft"
2306,"0hard/-1038020soft"
2315,"0hard/-1037700soft"
2332,"0hard/-1037610soft"
2346,"0hard/-1037490soft"
2353,"0hard/-1037140soft"
2359,"0hard/-1037100soft"
2392,"0hard/-1036710soft"
2392,"0hard/-1036360soft"
2426,"0hard/-1036290soft"
2431,"0hard/-1036100soft"
2443,"0hard/-1035960soft"
2449,"0hard/-1035890soft"
2454,"0hard/-1035830soft"
2460,"0hard/-1035630soft"
2471,"0hard/-1035600soft"
2473,"0hard/-1035560soft"
2474,"0hard/-1035210soft"
2474,"0hard/-1034420soft"
2544,"0hard/-1034410soft"
2552,"0hard/-1033580soft"
2558,"0hard/-1033370soft"
2576,"0hard/-1033010soft"
2623,"0hard/-1032900soft"
2654,"0hard/-1032790soft"
2660,"0hard/-1032630soft"
2690,"0hard/-1032620soft"
2706,"0hard/-1032550soft"
2709,"0hard/-1032370soft"
2723,"0hard/-1032090soft"
2723,"0hard/-1031570soft"
2763,"0hard/-1031330soft"
2770,"0hard/-1030970soft"
2790,"0hard/-1030880soft"
2800,"0hard/-1030540soft"
2812,"0hard/-1030450soft"
2822,"0hard/-1030250soft"
2840,"0hard/-1030030soft"
2843,"0hard/-1029880soft"
2858,"0hard/-1029860soft"
2883,"0hard/-1029800soft"
2887,"0hard/-1029780soft"
2895,"0hard/-1029540soft"
2904,"0hard/-1029440soft"
2904,"0hard/-1028990soft"
2913,"0hard/-1028980soft"
2913,"0hard/-1028630soft"
2948,"0hard/-1028510soft"
2952,"0hard/-1028470soft"
2953,"0hard/-1028430soft"
