"timeMillisSpent","score"
240,"0hard/-132440soft"
261,"0hard/-131780soft"
281,"0hard/-131600soft"
283,"0hard/-131210soft"
290,"0hard/-130860soft"
339,"0hard/-130520soft"
395,"0hard/-130480soft"
410,"0hard/-130380soft"
414,"0hard/-130030soft"
429,"0hard/-129960soft"
437,"0hard/-129880soft"
438,"0hard/-129530soft"
446,"0hard/-129430soft"
467,"0hard/-129280soft"
487,"0hard/-129150soft"
519,"0hard/-128920soft"
521,"0hard/-128570soft"
593,"0hard/-128360soft"
637,"0hard/-127940soft"
650,"0hard/-127630soft"
650,"0hard/-127550soft"
754,"0hard/-127510soft"
754,"0hard/-127160soft"
775,"0hard/-126990soft"
776,"0hard/-126640soft"
878,"0hard/-126330soft"
880,"0hard/-125650soft"
1046,"0hard/-125140soft"
1089,"0hard/-125070soft"
1101,"0hard/-124760soft"
1174,"0hard/-124600soft"
1187,"0hard/-124290soft"
1237,"0hard/-124250soft"
1239,"0hard/-124230soft"
1245,"0hard/-124070soft"
1250,"0hard/-124030soft"
1261,"0hard/-123900soft"
1270,"0hard/-123860soft"
1271,"0hard/-123510soft"
1327,"0hard/-123200soft"
1354,"0hard/-123090soft"
1365,"0hard/-122750soft"
1369,"0hard/-122620soft"
1399,"0hard/-122230soft"
1410,"0hard/-122210soft"
1439,"0hard/-122060soft"
1442,"0hard/-121960soft"
1442,"0hard/-121610soft"
1509,"0hard/-121560soft"
1521,"0hard/-121490soft"
1530,"0hard/-121100soft"
1564,"0hard/-121060soft"
1581,"0hard/-121000soft"
1593,"0hard/-120900soft"
1601,"0hard/-120730soft"
1642,"0hard/-120530soft"
1677,"0hard/-120460soft"
1687,"0hard/-120420soft"
1688,"0hard/-120250soft"
1696,"0hard/-120080soft"
1702,"0hard/-119940soft"
1723,"0hard/-119910soft"
1729,"0hard/-119700soft"
1817,"0hard/-119620soft"
1845,"0hard/-119540soft"
1864,"0hard/-119330soft"
1880,"0hard/-119130soft"
1947,"0hard/-119060soft"
1981,"0hard/-119030soft"
1988,"0hard/-118900soft"
1997,"0hard/-118650soft"
2056,"0hard/-118580soft"
2085,"0hard/-118480soft"
2092,"0hard/-118270soft"
2095,"0hard/-118170soft"
2143,"0hard/-118100soft"
2200,"0hard/-117830soft"
2213,"0hard/-117790soft"
2228,"0hard/-117630soft"
2315,"0hard/-117620soft"
2331,"0hard/-117450soft"
2351,"0hard/-117370soft"
2371,"0hard/-117280soft"
2529,"0hard/-117220soft"
2561,"0hard/-117120soft"
2580,"0hard/-117080soft"
2610,"0hard/-117040soft"
2657,"0hard/-116940soft"
2667,"0hard/-116660soft"
2779,"0hard/-116550soft"
2879,"0hard/-116510soft"
2940,"0hard/-116410soft"
2963,"0hard/-116270soft"
3049,"0hard/-116200soft"
3058,"0hard/-116100soft"
3075,"0hard/-115870soft"
3263,"0hard/-115830soft"
3272,"0hard/-115790soft"
3305,"0hard/-115670soft"
3438,"0hard/-115600soft"
3517,"0hard/-115560soft"
3518,"0hard/-115460soft"
3525,"0hard/-115180soft"
3697,"0hard/-114910soft"
3792,"0hard/-114850soft"
4065,"0hard/-114790soft"
4087,"0hard/-114750soft"
4327,"0hard/-114470soft"
4478,"0hard/-114410soft"
4633,"0hard/-114300soft"
4779,"0hard/-114170soft"
4949,"0hard/-114130soft"
5224,"0hard/-114020soft"
5378,"0hard/-113980soft"
5906,"0hard/-113800soft"
8017,"0hard/-113760soft"
8455,"0hard/-113550soft"
9671,"0hard/-113300soft"
11781,"0hard/-113200soft"
12227,"0hard/-113050soft"
12379,"0hard/-112950soft"
56300,"0hard/-112810soft"
63445,"0hard/-112710soft"
72037,"0hard/-112630soft"
128762,"0hard/-112530soft"
