"timeMillisSpent","score"
3215,"-16hard/-27297soft"
3258,"-16hard/-25142soft"
4531,"-16hard/-13639soft"
7031,"-15hard/-25711soft"
7286,"0hard/-78852soft"
15060,"0hard/-54176soft"
18326,"0hard/-41499soft"
19086,"0hard/-41342soft"
24948,"0hard/-40847soft"
25423,"0hard/-40598soft"
25424,"0hard/-40412soft"
25692,"0hard/-39887soft"
25693,"0hard/-39762soft"
25731,"0hard/-38589soft"
25732,"0hard/-38380soft"
25732,"0hard/-38319soft"
25733,"0hard/-38316soft"
25733,"0hard/-38303soft"
25981,"0hard/-38201soft"
26043,"0hard/-35623soft"
26043,"0hard/-35587soft"
26044,"0hard/-35311soft"
26045,"0hard/-34836soft"
27628,"0hard/-34639soft"
28954,"0hard/-34036soft"
28954,"0hard/-34032soft"
29375,"0hard/-33985soft"
29376,"0hard/-33967soft"
29662,"0hard/-33922soft"
29662,"0hard/-33917soft"
29744,"0hard/-33913soft"
29810,"0hard/-33159soft"
29810,"0hard/-33149soft"
29810,"0hard/-33131soft"
29811,"0hard/-33102soft"
29812,"0hard/-32063soft"
30559,"0hard/-31856soft"
30560,"0hard/-31812soft"
30881,"0hard/-31784soft"
30881,"0hard/-31767soft"
30881,"0hard/-31594soft"
31140,"0hard/-31472soft"
31154,"0hard/-31308soft"
31155,"0hard/-31304soft"
31465,"0hard/-31138soft"
31801,"0hard/-30756soft"
33033,"0hard/-30595soft"
33096,"0hard/-30108soft"
33099,"0hard/-30103soft"
33630,"0hard/-29941soft"
33631,"0hard/-29806soft"
33631,"0hard/-29721soft"
34302,"0hard/-29535soft"
34302,"0hard/-29499soft"
34951,"0hard/-29472soft"
34952,"0hard/-29330soft"
34954,"0hard/-29197soft"
35004,"0hard/-29109soft"
35018,"0hard/-28716soft"
35615,"0hard/-28693soft"
35615,"0hard/-28670soft"
35616,"0hard/-28645soft"
35834,"0hard/-28529soft"
35894,"0hard/-28493soft"
35896,"0hard/-28441soft"
35896,"0hard/-28395soft"
35897,"0hard/-28130soft"
36559,"0hard/-28045soft"
36937,"0hard/-27838soft"
36938,"0hard/-27836soft"
36939,"0hard/-27785soft"
37275,"0hard/-27734soft"
38168,"0hard/-27727soft"
38169,"0hard/-27593soft"
38282,"0hard/-27569soft"
38284,"0hard/-27561soft"
38284,"0hard/-27549soft"
38285,"0hard/-27547soft"
38755,"0hard/-27428soft"
38756,"0hard/-27338soft"
39225,"0hard/-27315soft"
39389,"0hard/-27220soft"
39390,"0hard/-27219soft"
39566,"0hard/-27062soft"
39566,"0hard/-27053soft"
39567,"0hard/-27026soft"
39568,"0hard/-26983soft"
39568,"0hard/-26980soft"
39587,"0hard/-26845soft"
39587,"0hard/-26829soft"
39588,"0hard/-26572soft"
40868,"0hard/-26327soft"
41253,"0hard/-26305soft"
41287,"0hard/-26262soft"
41287,"0hard/-26259soft"
41288,"0hard/-26255soft"
41402,"0hard/-26231soft"
41484,"0hard/-26228soft"
41861,"0hard/-26185soft"
41861,"0hard/-26161soft"
41861,"0hard/-26146soft"
41863,"0hard/-26116soft"
42219,"0hard/-26107soft"
42240,"0hard/-26013soft"
42241,"0hard/-25997soft"
42381,"0hard/-25926soft"
42382,"0hard/-25840soft"
42383,"0hard/-25829soft"
42618,"0hard/-25656soft"
42619,"0hard/-25651soft"
42620,"0hard/-25649soft"
42620,"0hard/-25579soft"
43287,"0hard/-25565soft"
43287,"0hard/-25556soft"
43593,"0hard/-25490soft"
43919,"0hard/-25363soft"
43982,"0hard/-25295soft"
43993,"0hard/-25291soft"
43994,"0hard/-25260soft"
43994,"0hard/-25244soft"
43995,"0hard/-25220soft"
44001,"0hard/-25198soft"
44293,"0hard/-25156soft"
44293,"0hard/-25134soft"
44678,"0hard/-25080soft"
44678,"0hard/-25077soft"
44678,"0hard/-24965soft"
44678,"0hard/-24959soft"
44678,"0hard/-24953soft"
44680,"0hard/-24947soft"
44681,"0hard/-24883soft"
45027,"0hard/-24603soft"
45027,"0hard/-24601soft"
45699,"0hard/-24469soft"
45699,"0hard/-24458soft"
46361,"0hard/-24331soft"
46963,"0hard/-24308soft"
46965,"0hard/-24258soft"
47019,"0hard/-24111soft"
47021,"0hard/-24052soft"
47353,"0hard/-23945soft"
47354,"0hard/-23940soft"
47389,"0hard/-23921soft"
47390,"0hard/-23881soft"
47391,"0hard/-23876soft"
48065,"0hard/-23778soft"
48066,"0hard/-23751soft"
48657,"0hard/-23672soft"
48657,"0hard/-23521soft"
48658,"0hard/-23514soft"
49781,"0hard/-23449soft"
49847,"0hard/-23446soft"
49849,"0hard/-23444soft"
50483,"0hard/-23443soft"
50484,"0hard/-23396soft"
50484,"0hard/-23361soft"
50641,"0hard/-23337soft"
50641,"0hard/-23330soft"
50803,"0hard/-23305soft"
50803,"0hard/-23237soft"
50878,"0hard/-23234soft"
51053,"0hard/-23040soft"
51224,"0hard/-23011soft"
51537,"0hard/-22977soft"
51908,"0hard/-22878soft"
51908,"0hard/-22877soft"
51909,"0hard/-22866soft"
51909,"0hard/-22861soft"
52597,"0hard/-22855soft"
52597,"0hard/-22853soft"
53229,"0hard/-22834soft"
53435,"0hard/-22656soft"
53969,"0hard/-22537soft"
54511,"0hard/-22535soft"
54511,"0hard/-22395soft"
55233,"0hard/-22369soft"
55238,"0hard/-22222soft"
55867,"0hard/-22195soft"
56422,"0hard/-22141soft"
56422,"0hard/-22107soft"
56777,"0hard/-22106soft"
57015,"0hard/-22093soft"
57628,"0hard/-21892soft"
58087,"0hard/-21871soft"
58088,"0hard/-21870soft"
58090,"0hard/-21840soft"
58484,"0hard/-21711soft"
58485,"0hard/-21709soft"
59351,"0hard/-21584soft"
59850,"0hard/-21571soft"
60261,"0hard/-21452soft"
60738,"0hard/-21353soft"
60738,"0hard/-21316soft"
62097,"0hard/-21295soft"
62256,"0hard/-21233soft"
62937,"0hard/-21207soft"
62937,"0hard/-21181soft"
62938,"0hard/-21170soft"
63196,"0hard/-21118soft"
63286,"0hard/-21103soft"
63286,"0hard/-21097soft"
63287,"0hard/-21047soft"
63288,"0hard/-21040soft"
63289,"0hard/-20950soft"
63289,"0hard/-20928soft"
63289,"0hard/-20903soft"
63679,"0hard/-20849soft"
65518,"0hard/-20848soft"
65518,"0hard/-20837soft"
66127,"0hard/-20833soft"
66280,"0hard/-20830soft"
66280,"0hard/-20818soft"
66281,"0hard/-20809soft"
66540,"0hard/-20732soft"
66542,"0hard/-20722soft"
66542,"0hard/-20547soft"
68107,"0hard/-20545soft"
68185,"0hard/-20544soft"
68223,"0hard/-20473soft"
68802,"0hard/-20459soft"
68803,"0hard/-20454soft"
68930,"0hard/-20443soft"
69450,"0hard/-20355soft"
69694,"0hard/-20313soft"
70332,"0hard/-20286soft"
70332,"0hard/-20238soft"
70732,"0hard/-20231soft"
71027,"0hard/-20087soft"
71028,"0hard/-20086soft"
71029,"0hard/-20068soft"
71422,"0hard/-20060soft"
71422,"0hard/-20053soft"
71424,"0hard/-20025soft"
72671,"0hard/-19995soft"
72671,"0hard/-19970soft"
73899,"0hard/-19967soft"
74008,"0hard/-19957soft"
74008,"0hard/-19925soft"
74413,"0hard/-19911soft"
74414,"0hard/-19902soft"
74501,"0hard/-19840soft"
74501,"0hard/-19815soft"
74935,"0hard/-19776soft"
75315,"0hard/-19774soft"
75553,"0hard/-19704soft"
75553,"0hard/-19656soft"
76724,"0hard/-19609soft"
77260,"0hard/-19604soft"
77260,"0hard/-19593soft"
78107,"0hard/-19562soft"
78107,"0hard/-19560soft"
78107,"0hard/-19557soft"
78108,"0hard/-19527soft"
78108,"0hard/-19500soft"
78545,"0hard/-19484soft"
78889,"0hard/-19461soft"
79258,"0hard/-19456soft"
79258,"0hard/-19453soft"
79352,"0hard/-19438soft"
79769,"0hard/-19416soft"
79792,"0hard/-19403soft"
79915,"0hard/-19384soft"
80042,"0hard/-19364soft"
80242,"0hard/-19360soft"
80364,"0hard/-19359soft"
80366,"0hard/-19238soft"
81719,"0hard/-19230soft"
81720,"0hard/-19229soft"
81721,"0hard/-19197soft"
81787,"0hard/-19195soft"
82169,"0hard/-19194soft"
82254,"0hard/-19183soft"
82254,"0hard/-19170soft"
82317,"0hard/-19169soft"
82582,"0hard/-19105soft"
82662,"0hard/-19067soft"
82663,"0hard/-19065soft"
83547,"0hard/-19061soft"
83563,"0hard/-18980soft"
84355,"0hard/-18903soft"
85006,"0hard/-18879soft"
85006,"0hard/-18872soft"
85455,"0hard/-18870soft"
85776,"0hard/-18786soft"
85819,"0hard/-18784soft"
86777,"0hard/-18775soft"
87045,"0hard/-18761soft"
87272,"0hard/-18758soft"
87720,"0hard/-18734soft"
87720,"0hard/-18699soft"
87721,"0hard/-18532soft"
89608,"0hard/-18516soft"
90376,"0hard/-18511soft"
90712,"0hard/-18483soft"
92101,"0hard/-18454soft"
92576,"0hard/-18437soft"
92586,"0hard/-18436soft"
92587,"0hard/-18435soft"
92619,"0hard/-18417soft"
92756,"0hard/-18403soft"
93062,"0hard/-18400soft"
93073,"0hard/-18396soft"
93102,"0hard/-18383soft"
93104,"0hard/-18373soft"
93224,"0hard/-18372soft"
93224,"0hard/-18358soft"
93224,"0hard/-18356soft"
93225,"0hard/-18350soft"
93225,"0hard/-18332soft"
93226,"0hard/-18329soft"
93685,"0hard/-18323soft"
93686,"0hard/-18299soft"
93687,"0hard/-18263soft"
94176,"0hard/-18258soft"
94185,"0hard/-18160soft"
94225,"0hard/-18154soft"
96133,"0hard/-18144soft"
96141,"0hard/-18143soft"
96489,"0hard/-18142soft"
96630,"0hard/-18135soft"
96633,"0hard/-18133soft"
96789,"0hard/-18126soft"
97137,"0hard/-18070soft"
97969,"0hard/-18063soft"
97970,"0hard/-18055soft"
97970,"0hard/-18049soft"
98477,"0hard/-18029soft"
98483,"0hard/-18013soft"
99151,"0hard/-18003soft"
99474,"0hard/-17996soft"
99475,"0hard/-17973soft"
99662,"0hard/-17945soft"
99662,"0hard/-17916soft"
99940,"0hard/-17907soft"
100011,"0hard/-17900soft"
101610,"0hard/-17897soft"
101649,"0hard/-17857soft"
102073,"0hard/-17854soft"
102248,"0hard/-17836soft"
102577,"0hard/-17827soft"
102617,"0hard/-17775soft"
103131,"0hard/-17765soft"
103131,"0hard/-17740soft"
104170,"0hard/-17697soft"
105246,"0hard/-17690soft"
105423,"0hard/-17689soft"
105688,"0hard/-17678soft"
105689,"0hard/-17673soft"
105757,"0hard/-17668soft"
105757,"0hard/-17664soft"
105896,"0hard/-17563soft"
105896,"0hard/-17550soft"
107359,"0hard/-17543soft"
107359,"0hard/-17536soft"
107359,"0hard/-17532soft"
107896,"0hard/-17526soft"
107896,"0hard/-17500soft"
108934,"0hard/-17487soft"
108982,"0hard/-17468soft"
108982,"0hard/-17445soft"
110018,"0hard/-17415soft"
110022,"0hard/-17390soft"
112629,"0hard/-17389soft"
112630,"0hard/-17376soft"
112631,"0hard/-17373soft"
112631,"0hard/-17372soft"
112707,"0hard/-17346soft"
113185,"0hard/-17339soft"
113778,"0hard/-17336soft"
113784,"0hard/-17333soft"
113907,"0hard/-17309soft"
114011,"0hard/-17242soft"
114320,"0hard/-17233soft"
114905,"0hard/-17217soft"
114906,"0hard/-17170soft"
116941,"0hard/-17167soft"
117089,"0hard/-17165soft"
117089,"0hard/-17152soft"
117398,"0hard/-17151soft"
117433,"0hard/-17149soft"
117462,"0hard/-17134soft"
117623,"0hard/-17126soft"
118519,"0hard/-17104soft"
118526,"0hard/-17103soft"
118526,"0hard/-17094soft"
118526,"0hard/-17089soft"
118623,"0hard/-17085soft"
118745,"0hard/-17022soft"
119629,"0hard/-17016soft"
119699,"0hard/-16970soft"
120303,"0hard/-16940soft"
121145,"0hard/-16933soft"
121826,"0hard/-16931soft"
121827,"0hard/-16878soft"
122315,"0hard/-16871soft"
122316,"0hard/-16865soft"
122811,"0hard/-16849soft"
122990,"0hard/-16844soft"
123053,"0hard/-16841soft"
123243,"0hard/-16828soft"
123374,"0hard/-16809soft"
123375,"0hard/-16808soft"
123445,"0hard/-16769soft"
123937,"0hard/-16757soft"
123940,"0hard/-16747soft"
125074,"0hard/-16733soft"
125074,"0hard/-16722soft"
126149,"0hard/-16718soft"
126537,"0hard/-16717soft"
126538,"0hard/-16680soft"
126764,"0hard/-16673soft"
126764,"0hard/-16665soft"
127100,"0hard/-16648soft"
128200,"0hard/-16623soft"
128293,"0hard/-16603soft"
129431,"0hard/-16579soft"
129521,"0hard/-16504soft"
129522,"0hard/-16455soft"
130656,"0hard/-16443soft"
131255,"0hard/-16439soft"
131256,"0hard/-16430soft"
132481,"0hard/-16420soft"
133029,"0hard/-16419soft"
133452,"0hard/-16393soft"
133580,"0hard/-16374soft"
