"timeMillisSpent","score"
250,"0hard/-132440soft"
277,"0hard/-131820soft"
288,"0hard/-131330soft"
301,"0hard/-130670soft"
344,"0hard/-130220soft"
379,"0hard/-129620soft"
1312,"0hard/-129170soft"
1319,"0hard/-128720soft"
1327,"0hard/-128240soft"
1808,"0hard/-127850soft"
2359,"0hard/-127500soft"
2476,"0hard/-127150soft"
2978,"0hard/-126800soft"
3534,"0hard/-126730soft"
3538,"0hard/-126690soft"
3549,"0hard/-126650soft"
3560,"0hard/-126300soft"
4323,"0hard/-125850soft"
4769,"0hard/-124780soft"
4781,"0hard/-124360soft"
4793,"0hard/-124010soft"
4803,"0hard/-123620soft"
5593,"0hard/-122730soft"
6592,"0hard/-122380soft"
10443,"0hard/-122030soft"
10571,"0hard/-121470soft"
10581,"0hard/-121120soft"
11607,"0hard/-120770soft"
11937,"0hard/-120070soft"
11949,"0hard/-119720soft"
15301,"0hard/-118220soft"
15313,"0hard/-117870soft"
15330,"0hard/-117520soft"
17543,"0hard/-116900soft"
26643,"0hard/-116340soft"
34202,"0hard/-115990soft"
34220,"0hard/-115640soft"
251068,"0hard/-115470soft"
