"timeMillisSpent","score"
9474,"-87hard/-5519soft"
9614,"-52hard/-5599soft"
11888,"-32hard/-48340soft"
18154,"-32hard/-47589soft"
18213,"-31hard/-49113soft"
18519,"-29hard/-57288soft"
18523,"-29hard/-56687soft"
18523,"-29hard/-56683soft"
18523,"-29hard/-56668soft"
18730,"-29hard/-52118soft"
18730,"-29hard/-52101soft"
18730,"-28hard/-51934soft"
18731,"-28hard/-51922soft"
18731,"-28hard/-51883soft"
19508,"-27hard/-59984soft"
19884,"-27hard/-53959soft"
19885,"-27hard/-53912soft"
19885,"-27hard/-53868soft"
19885,"-27hard/-53847soft"
19886,"-27hard/-53770soft"
19889,"-26hard/-53933soft"
20086,"-26hard/-53745soft"
20086,"-26hard/-53521soft"
20087,"-26hard/-53338soft"
20272,"-25hard/-53648soft"
20272,"-25hard/-53461soft"
20273,"-25hard/-53437soft"
20273,"-25hard/-53420soft"
20274,"-24hard/-53394soft"
20274,"-24hard/-53391soft"
20274,"-24hard/-53120soft"
20709,"-24hard/-52694soft"
20710,"-24hard/-52685soft"
20895,"-23hard/-50054soft"
20895,"-23hard/-50036soft"
21090,"-23hard/-46973soft"
21091,"-22hard/-47193soft"
21091,"-22hard/-47184soft"
21894,"-21hard/-52394soft"
22101,"-21hard/-51311soft"
22101,"-21hard/-51287soft"
22102,"-21hard/-51169soft"
22290,"-21hard/-50861soft"
22292,"-21hard/-50856soft"
22292,"-21hard/-50849soft"
22293,"-21hard/-50784soft"
22293,"-21hard/-50770soft"
22379,"-21hard/-50153soft"
22592,"-21hard/-44821soft"
22623,"-20hard/-48901soft"
23036,"-19hard/-52859soft"
23264,"-19hard/-50003soft"
23265,"-19hard/-49945soft"
23265,"-19hard/-49907soft"
23500,"-19hard/-48615soft"
23501,"-19hard/-48609soft"
23501,"-19hard/-48594soft"
23501,"-19hard/-48581soft"
23504,"-19hard/-48432soft"
23516,"-19hard/-45789soft"
23516,"-19hard/-45720soft"
23708,"-18hard/-51511soft"
23804,"-18hard/-51475soft"
23804,"-18hard/-51460soft"
23804,"-18hard/-51298soft"
23905,"-15hard/-52246soft"
23906,"-15hard/-52077soft"
23906,"-15hard/-52059soft"
24567,"-11hard/-58192soft"
26678,"-11hard/-53975soft"
26678,"-11hard/-53898soft"
27203,"-11hard/-47133soft"
27205,"-10hard/-49511soft"
27206,"-10hard/-49426soft"
27858,"-9hard/-51037soft"
27859,"-9hard/-48577soft"
28518,"-9hard/-46922soft"
28519,"-9hard/-46879soft"
29412,"-9hard/-46147soft"
29412,"-9hard/-45734soft"
29468,"-9hard/-44766soft"
29484,"-9hard/-43964soft"
30094,"-8hard/-53395soft"
30094,"-8hard/-53339soft"
30135,"-8hard/-49733soft"
30136,"-8hard/-49656soft"
30136,"-8hard/-49502soft"
30150,"-8hard/-49437soft"
30151,"-8hard/-49421soft"
30156,"-7hard/-49522soft"
30325,"-6hard/-56755soft"
30809,"-6hard/-50620soft"
30916,"-5hard/-49691soft"
30918,"-5hard/-49624soft"
31968,"-5hard/-48454soft"
31968,"-5hard/-48445soft"
31971,"-4hard/-48499soft"
32013,"-4hard/-48124soft"
32013,"-4hard/-47988soft"
32170,"-4hard/-47149soft"
32397,"-4hard/-37654soft"
32399,"-4hard/-37272soft"
32400,"-4hard/-37233soft"
33428,"-2hard/-48271soft"
35541,"-1hard/-50480soft"
35545,"-1hard/-46357soft"
36890,"-1hard/-44950soft"
36890,"-1hard/-44935soft"
36919,"0hard/-50534soft"
37378,"0hard/-39380soft"
43695,"0hard/-39168soft"
43706,"0hard/-39061soft"
44105,"0hard/-38662soft"
44105,"0hard/-38661soft"
44106,"0hard/-38518soft"
44106,"0hard/-38487soft"
44107,"0hard/-38469soft"
44107,"0hard/-38412soft"
44112,"0hard/-38388soft"
44316,"0hard/-38346soft"
44361,"0hard/-38299soft"
44361,"0hard/-38253soft"
44361,"0hard/-38250soft"
44362,"0hard/-38210soft"
44518,"0hard/-37967soft"
44531,"0hard/-37889soft"
44533,"0hard/-37719soft"
44534,"0hard/-37710soft"
44778,"0hard/-37701soft"
44915,"0hard/-37661soft"
44925,"0hard/-37523soft"
44925,"0hard/-37516soft"
45117,"0hard/-37391soft"
45118,"0hard/-37356soft"
45120,"0hard/-37309soft"
45120,"0hard/-37294soft"
45122,"0hard/-37087soft"
45122,"0hard/-37065soft"
45157,"0hard/-36978soft"
45157,"0hard/-36973soft"
45159,"0hard/-36949soft"
45159,"0hard/-36946soft"
45161,"0hard/-36924soft"
45161,"0hard/-36864soft"
45162,"0hard/-36858soft"
45165,"0hard/-36857soft"
45165,"0hard/-36855soft"
45165,"0hard/-36851soft"
45166,"0hard/-36742soft"
45395,"0hard/-36732soft"
45396,"0hard/-36726soft"
45396,"0hard/-36582soft"
