"timeMillisSpent","score"
1303,"0hard/-1075950soft"
1322,"0hard/-1075430soft"
1348,"0hard/-1074950soft"
1352,"0hard/-1074430soft"
1354,"0hard/-1073810soft"
1361,"0hard/-1073460soft"
1365,"0hard/-1072940soft"
1382,"0hard/-1072590soft"
1384,"0hard/-1072110soft"
1394,"0hard/-1071410soft"
1410,"0hard/-1070870soft"
1416,"0hard/-1070520soft"
1418,"0hard/-1069820soft"
1428,"0hard/-1069400soft"
1434,"0hard/-1069050soft"
1446,"0hard/-1068700soft"
1455,"0hard/-1068350soft"
1460,"0hard/-1067830soft"
1473,"0hard/-1067480soft"
1475,"0hard/-1067090soft"
1479,"0hard/-1066740soft"
1482,"0hard/-1066220soft"
1490,"0hard/-1065830soft"
1493,"0hard/-1065700soft"
1495,"0hard/-1065350soft"
1504,"0hard/-1064550soft"
1508,"0hard/-1064380soft"
1510,"0hard/-1063890soft"
1532,"0hard/-1063410soft"
1538,"0hard/-1063060soft"
1540,"0hard/-1062670soft"
1542,"0hard/-1062540soft"
1546,"0hard/-1062190soft"
1560,"0hard/-1061320soft"
1562,"0hard/-1060450soft"
1566,"0hard/-1060100soft"
1570,"0hard/-1059680soft"
1572,"0hard/-1059620soft"
1585,"0hard/-1058960soft"
1598,"0hard/-1058860soft"
1604,"0hard/-1058470soft"
1608,"0hard/-1058120soft"
1612,"0hard/-1057730soft"
1618,"0hard/-1057380soft"
1622,"0hard/-1057350soft"
1624,"0hard/-1057000soft"
1631,"0hard/-1056580soft"
1633,"0hard/-1056480soft"
1639,"0hard/-1056060soft"
1654,"0hard/-1055610soft"
1656,"0hard/-1055220soft"
1660,"0hard/-1054560soft"
1662,"0hard/-1054350soft"
1672,"0hard/-1053930soft"
1690,"0hard/-1053470soft"
1700,"0hard/-1053080soft"
1704,"0hard/-1052730soft"
1708,"0hard/-1052340soft"
1721,"0hard/-1051990soft"
1723,"0hard/-1051640soft"
1728,"0hard/-1051580soft"
1740,"0hard/-1051130soft"
1751,"0hard/-1050740soft"
1754,"0hard/-1049940soft"
1773,"0hard/-1049070soft"
1788,"0hard/-1048720soft"
1798,"0hard/-1048240soft"
1805,"0hard/-1047890soft"
1820,"0hard/-1047850soft"
1823,"0hard/-1047720soft"
1829,"0hard/-1047160soft"
1834,"0hard/-1046770soft"
1838,"0hard/-1046420soft"
1850,"0hard/-1046070soft"
1876,"0hard/-1045550soft"
1879,"0hard/-1045420soft"
1904,"0hard/-1044900soft"
