"timeMillisSpent","score"
260,"0hard/-132440soft"
265,"0hard/-131780soft"
290,"0hard/-131430soft"
290,"0hard/-130940soft"
294,"0hard/-130550soft"
294,"0hard/-130200soft"
295,"0hard/-129850soft"
307,"0hard/-129720soft"
319,"0hard/-129370soft"
320,"0hard/-129020soft"
330,"0hard/-128460soft"
333,"0hard/-128070soft"
342,"0hard/-126570soft"
358,"0hard/-126220soft"
360,"0hard/-125580soft"
362,"0hard/-125230soft"
375,"0hard/-124880soft"
397,"0hard/-124530soft"
429,"0hard/-124360soft"
449,"0hard/-123470soft"
470,"0hard/-123120soft"
477,"0hard/-122730soft"
498,"0hard/-122380soft"
502,"0hard/-121960soft"
524,"0hard/-121510soft"
525,"0hard/-121060soft"
580,"0hard/-120710soft"
634,"0hard/-120360soft"
702,"0hard/-120010soft"
746,"0hard/-119660soft"
756,"0hard/-119620soft"
801,"0hard/-119310soft"
829,"0hard/-118960soft"
925,"0hard/-118440soft"
929,"0hard/-117920soft"
1055,"0hard/-117860soft"
1072,"0hard/-117410soft"
1206,"0hard/-117080soft"
1344,"0hard/-116870soft"
1360,"0hard/-116520soft"
1477,"0hard/-116170soft"
1570,"0hard/-115900soft"
1572,"0hard/-115550soft"
2889,"0hard/-115430soft"
3344,"0hard/-114870soft"
3425,"0hard/-114840soft"
4086,"0hard/-114780soft"
4501,"0hard/-114570soft"
4611,"0hard/-114470soft"
4628,"0hard/-114120soft"
7547,"0hard/-114010soft"
8582,"0hard/-113760soft"
11578,"0hard/-113680soft"
13939,"0hard/-113580soft"
24577,"0hard/-113540soft"
73989,"0hard/-113500soft"
74009,"0hard/-113460soft"
74094,"0hard/-113430soft"
118463,"0hard/-113180soft"
118463,"0hard/-113120soft"
118872,"0hard/-113050soft"
119005,"0hard/-113040soft"
119024,"0hard/-113010soft"
141788,"0hard/-112970soft"
159290,"0hard/-112870soft"
198388,"0hard/-112770soft"
