"timeMillisSpent","score"
604,"0hard/-244360soft"
611,"0hard/-244010soft"
616,"0hard/-243560soft"
619,"0hard/-243210soft"
621,"0hard/-242490soft"
623,"0hard/-242140soft"
625,"0hard/-240540soft"
634,"0hard/-239660soft"
637,"0hard/-239310soft"
637,"0hard/-238750soft"
645,"0hard/-238230soft"
649,"0hard/-237880soft"
650,"0hard/-237530soft"
653,"0hard/-237180soft"
664,"0hard/-237060soft"
666,"0hard/-236710soft"
667,"0hard/-236320soft"
679,"0hard/-235870soft"
690,"0hard/-235080soft"
693,"0hard/-234870soft"
699,"0hard/-234520soft"
716,"0hard/-233920soft"
729,"0hard/-233260soft"
730,"0hard/-232880soft"
735,"0hard/-232530soft"
745,"0hard/-232180soft"
756,"0hard/-231790soft"
763,"0hard/-231440soft"
764,"0hard/-230720soft"
766,"0hard/-230240soft"
766,"0hard/-229810soft"
779,"0hard/-229360soft"
783,"0hard/-228580soft"
784,"0hard/-228130soft"
788,"0hard/-228060soft"
798,"0hard/-227460soft"
813,"0hard/-226860soft"
817,"0hard/-226830soft"
835,"0hard/-226750soft"
841,"0hard/-226130soft"
843,"0hard/-225640soft"
846,"0hard/-225080soft"
847,"0hard/-224630soft"
857,"0hard/-224280soft"
864,"0hard/-223760soft"
869,"0hard/-223410soft"
871,"0hard/-223060soft"
871,"0hard/-222380soft"
883,"0hard/-222030soft"
888,"0hard/-221680soft"
893,"0hard/-221330soft"
897,"0hard/-220940soft"
929,"0hard/-220870soft"
929,"0hard/-220520soft"
944,"0hard/-220170soft"
948,"0hard/-219610soft"
950,"0hard/-219260soft"
955,"0hard/-218560soft"
976,"0hard/-218000soft"
987,"0hard/-217650soft"
1007,"0hard/-217300soft"
1016,"0hard/-216780soft"
1024,"0hard/-216390soft"
1036,"0hard/-216040soft"
1072,"0hard/-215750soft"
1110,"0hard/-215720soft"
1141,"0hard/-215450soft"
1153,"0hard/-215100soft"
1160,"0hard/-214500soft"
1217,"0hard/-214480soft"
1233,"0hard/-214310soft"
1249,"0hard/-213790soft"
1267,"0hard/-213270soft"
1269,"0hard/-212920soft"
1277,"0hard/-212570soft"
1320,"0hard/-211970soft"
1325,"0hard/-211860soft"
1339,"0hard/-211680soft"
1341,"0hard/-211200soft"
1345,"0hard/-211100soft"
1351,"0hard/-210650soft"
1392,"0hard/-210300soft"
1442,"0hard/-210220soft"
1458,"0hard/-209870soft"
1468,"0hard/-209830soft"
1480,"0hard/-209700soft"
1529,"0hard/-209080soft"
1562,"0hard/-208730soft"
1601,"0hard/-208130soft"
1921,"0hard/-207570soft"
1948,"0hard/-206970soft"
2021,"0hard/-206620soft"
2070,"0hard/-206400soft"
2089,"0hard/-206370soft"
2142,"0hard/-206020soft"
2261,"0hard/-205980soft"
2467,"0hard/-205910soft"
2517,"0hard/-205460soft"
2642,"0hard/-205360soft"
2819,"0hard/-205320soft"
2820,"0hard/-204990soft"
3034,"0hard/-204890soft"
3100,"0hard/-204540soft"
3123,"0hard/-204480soft"
3151,"0hard/-204330soft"
3201,"0hard/-203880soft"
3742,"0hard/-203760soft"
3826,"0hard/-203620soft"
3873,"0hard/-203480soft"
3981,"0hard/-203410soft"
4050,"0hard/-203060soft"
4613,"0hard/-203000soft"
5092,"0hard/-202930soft"
5105,"0hard/-202850soft"
5114,"0hard/-202680soft"
5128,"0hard/-202600soft"
5133,"0hard/-202250soft"
5434,"0hard/-202210soft"
5841,"0hard/-202120soft"
5850,"0hard/-202080soft"
6025,"0hard/-202040soft"
6028,"0hard/-201980soft"
6061,"0hard/-201940soft"
6100,"0hard/-201590soft"
6788,"0hard/-201420soft"
6910,"0hard/-201070soft"
7261,"0hard/-201030soft"
7943,"0hard/-200890soft"
8064,"0hard/-200770soft"
8363,"0hard/-200760soft"
8414,"0hard/-200490soft"
8542,"0hard/-200440soft"
8727,"0hard/-200320soft"
9807,"0hard/-200220soft"
9836,"0hard/-200180soft"
10848,"0hard/-200160soft"
11789,"0hard/-199890soft"
11859,"0hard/-199880soft"
11994,"0hard/-199850soft"
12350,"0hard/-199400soft"
12820,"0hard/-199360soft"
12833,"0hard/-199330soft"
12840,"0hard/-199270soft"
12856,"0hard/-199230soft"
13261,"0hard/-198990soft"
13305,"0hard/-198950soft"
13501,"0hard/-198910soft"
14966,"0hard/-198880soft"
15274,"0hard/-198430soft"
15566,"0hard/-198350soft"
15926,"0hard/-198250soft"
16014,"0hard/-197870soft"
19529,"0hard/-197830soft"
22160,"0hard/-197480soft"
24585,"0hard/-197270soft"
27696,"0hard/-197210soft"
29583,"0hard/-196860soft"
47806,"0hard/-196820soft"
50067,"0hard/-196780soft"
52816,"0hard/-196650soft"
61080,"0hard/-196300soft"
84571,"0hard/-196260soft"
88133,"0hard/-196200soft"
89048,"0hard/-196120soft"
90821,"0hard/-196080soft"
105152,"0hard/-196040soft"
207432,"0hard/-195960soft"
233472,"0hard/-195900soft"
233488,"0hard/-195880soft"
263744,"0hard/-195800soft"
