"timeMillisSpent","score"
1085,"0hard/-1075950soft"
1103,"0hard/-1075080soft"
1227,"0hard/-1075060soft"
20046,"0hard/-1074360soft"
29009,"0hard/-1073970soft"
29130,"0hard/-1073940soft"
29642,"0hard/-1073840soft"
86982,"0hard/-1073490soft"
87116,"0hard/-1073030soft"
87255,"0hard/-1072640soft"
87435,"0hard/-1072610soft"
87818,"0hard/-1072510soft"
88452,"0hard/-1072410soft"
108150,"0hard/-1071540soft"
108352,"0hard/-1071520soft"
138428,"0hard/-1070820soft"
138609,"0hard/-1070430soft"
138840,"0hard/-1070040soft"
139470,"0hard/-1070010soft"
140025,"0hard/-1069980soft"
140720,"0hard/-1069880soft"
141392,"0hard/-1069780soft"
