"timeMillisSpent","score"
5828,"-24hard/-844soft"
6038,"-24hard/-636soft"
6047,"-20hard/-977soft"
6841,"-14hard/-30048soft"
9129,"-14hard/-27543soft"
9130,"-14hard/-27456soft"
9186,"-14hard/-24629soft"
9211,"-14hard/-23078soft"
9376,"-13hard/-26756soft"
9530,"-13hard/-21212soft"
9530,"-13hard/-21201soft"
9919,"-12hard/-26608soft"
10198,"-12hard/-24591soft"
10343,"-11hard/-26238soft"
10572,"-10hard/-31321soft"
10892,"-10hard/-27618soft"
10892,"-10hard/-27578soft"
11233,"-9hard/-27839soft"
12344,"-9hard/-27633soft"
12344,"-9hard/-27617soft"
12346,"-9hard/-27597soft"
12573,"-8hard/-32659soft"
12574,"-8hard/-32547soft"
13042,"-8hard/-31611soft"
13042,"-8hard/-31610soft"
13448,"-7hard/-35526soft"
13448,"-6hard/-35536soft"
13448,"-6hard/-35534soft"
13454,"-6hard/-35328soft"
13977,"-6hard/-34549soft"
13977,"-6hard/-34508soft"
13983,"-6hard/-34371soft"
13983,"-6hard/-34355soft"
14194,"-5hard/-27799soft"
15157,"-4hard/-35672soft"
15793,"-4hard/-23463soft"
16760,"-3hard/-29734soft"
16762,"-3hard/-29586soft"
16765,"-3hard/-29528soft"
17066,"-3hard/-26320soft"
17066,"-3hard/-26270soft"
17078,"-2hard/-26643soft"
17078,"-2hard/-26264soft"
17080,"-2hard/-26226soft"
18693,"-2hard/-20860soft"
19408,"-1hard/-25369soft"
20328,"-1hard/-24869soft"
20328,"-1hard/-24851soft"
20329,"-1hard/-24826soft"
20641,"-1hard/-15212soft"
23425,"0hard/-31298soft"
23623,"0hard/-29227soft"
23786,"0hard/-26128soft"
23786,"0hard/-26116soft"
24200,"0hard/-22935soft"
24200,"0hard/-22868soft"
24450,"0hard/-22785soft"
24451,"0hard/-22760soft"
24451,"0hard/-22735soft"
24452,"0hard/-22685soft"
24452,"0hard/-22419soft"
24905,"0hard/-19455soft"
25851,"0hard/-14541soft"
33264,"0hard/-14512soft"
33538,"0hard/-14439soft"
33539,"0hard/-14423soft"
33539,"0hard/-14398soft"
33540,"0hard/-14348soft"
33540,"0hard/-14152soft"
33541,"0hard/-14126soft"
33541,"0hard/-14111soft"
33544,"0hard/-13599soft"
33544,"0hard/-13594soft"
33764,"0hard/-13567soft"
33765,"0hard/-13517soft"
33765,"0hard/-13490soft"
33994,"0hard/-13440soft"
33995,"0hard/-13316soft"
33997,"0hard/-13313soft"
34489,"0hard/-13137soft"
34490,"0hard/-13126soft"
34490,"0hard/-13106soft"
34495,"0hard/-12955soft"
35022,"0hard/-12772soft"
35022,"0hard/-12762soft"
35473,"0hard/-12747soft"
35703,"0hard/-12621soft"
36226,"0hard/-12585soft"
36228,"0hard/-12568soft"
36241,"0hard/-12157soft"
36242,"0hard/-12147soft"
36244,"0hard/-11644soft"
36245,"0hard/-11632soft"
36246,"0hard/-11599soft"
37634,"0hard/-11456soft"
38525,"0hard/-11393soft"
38793,"0hard/-11384soft"
38814,"0hard/-11382soft"
38815,"0hard/-11270soft"
39035,"0hard/-11265soft"
39054,"0hard/-11162soft"
39055,"0hard/-11138soft"
39298,"0hard/-11037soft"
39807,"0hard/-10866soft"
39807,"0hard/-10835soft"
39807,"0hard/-10810soft"
39809,"0hard/-10764soft"
39809,"0hard/-10714soft"
40121,"0hard/-10531soft"
41093,"0hard/-10505soft"
41105,"0hard/-10484soft"
41333,"0hard/-10389soft"
41578,"0hard/-10378soft"
41801,"0hard/-10276soft"
41801,"0hard/-10164soft"
42361,"0hard/-10158soft"
42628,"0hard/-10001soft"
43611,"0hard/-9871soft"
43647,"0hard/-9822soft"
43686,"0hard/-9741soft"
44408,"0hard/-9679soft"
44616,"0hard/-9654soft"
44639,"0hard/-9647soft"
44641,"0hard/-9624soft"
44641,"0hard/-9610soft"
44861,"0hard/-9516soft"
44862,"0hard/-9499soft"
44863,"0hard/-9362soft"
45404,"0hard/-9322soft"
45680,"0hard/-9319soft"
45939,"0hard/-9284soft"
46219,"0hard/-9282soft"
46221,"0hard/-9277soft"
46224,"0hard/-9276soft"
46227,"0hard/-9271soft"
46473,"0hard/-9201soft"
46473,"0hard/-9176soft"
46474,"0hard/-9150soft"
46539,"0hard/-8843soft"
48181,"0hard/-8824soft"
48181,"0hard/-8799soft"
48363,"0hard/-8656soft"
48364,"0hard/-8630soft"
48927,"0hard/-8597soft"
48928,"0hard/-8562soft"
48929,"0hard/-8561soft"
49535,"0hard/-8531soft"
49535,"0hard/-8496soft"
49536,"0hard/-8486soft"
49536,"0hard/-8432soft"
50334,"0hard/-8429soft"
50346,"0hard/-8420soft"
50347,"0hard/-8395soft"
50347,"0hard/-8390soft"
50352,"0hard/-8359soft"
50352,"0hard/-8334soft"
50425,"0hard/-8204soft"
50426,"0hard/-8189soft"
51729,"0hard/-8171soft"
51730,"0hard/-8059soft"
51731,"0hard/-8012soft"
52581,"0hard/-8002soft"
52582,"0hard/-7972soft"
52582,"0hard/-7961soft"
52583,"0hard/-7937soft"
53441,"0hard/-7918soft"
53738,"0hard/-7880soft"
53739,"0hard/-7875soft"
53821,"0hard/-7855soft"
54017,"0hard/-7829soft"
54018,"0hard/-7819soft"
54316,"0hard/-7779soft"
54317,"0hard/-7774soft"
54582,"0hard/-7766soft"
54592,"0hard/-7745soft"
54886,"0hard/-7738soft"
54899,"0hard/-7680soft"
54900,"0hard/-7655soft"
55447,"0hard/-7421soft"
55447,"0hard/-7398soft"
55736,"0hard/-7386soft"
57733,"0hard/-7363soft"
57759,"0hard/-7351soft"
57759,"0hard/-7326soft"
58306,"0hard/-7203soft"
58635,"0hard/-7177soft"
58641,"0hard/-7156soft"
58929,"0hard/-7146soft"
58929,"0hard/-7105soft"
58930,"0hard/-7096soft"
58935,"0hard/-7058soft"
58937,"0hard/-7016soft"
59797,"0hard/-6917soft"
61304,"0hard/-6910soft"
61305,"0hard/-6901soft"
61306,"0hard/-6891soft"
61877,"0hard/-6872soft"
62172,"0hard/-6862soft"
62173,"0hard/-6861soft"
62173,"0hard/-6852soft"
62173,"0hard/-6709soft"
62174,"0hard/-6704soft"
64033,"0hard/-6676soft"
64297,"0hard/-6644soft"
64297,"0hard/-6638soft"
64608,"0hard/-6515soft"
64608,"0hard/-6508soft"
64609,"0hard/-6476soft"
64609,"0hard/-6451soft"
66658,"0hard/-6426soft"
66666,"0hard/-6420soft"
66682,"0hard/-6388soft"
66989,"0hard/-6386soft"
66990,"0hard/-6361soft"
66990,"0hard/-6311soft"
67899,"0hard/-6249soft"
68218,"0hard/-6228soft"
68826,"0hard/-6170soft"
68827,"0hard/-6159soft"
69094,"0hard/-6149soft"
69740,"0hard/-6098soft"
70052,"0hard/-6081soft"
70364,"0hard/-6072soft"
70366,"0hard/-6022soft"
70366,"0hard/-6012soft"
71286,"0hard/-5977soft"
71895,"0hard/-5970soft"
72196,"0hard/-5949soft"
72199,"0hard/-5937soft"
72532,"0hard/-5923soft"
72533,"0hard/-5893soft"
73467,"0hard/-5835soft"
74116,"0hard/-5823soft"
74117,"0hard/-5818soft"
74118,"0hard/-5766soft"
74118,"0hard/-5764soft"
74755,"0hard/-5752soft"
74755,"0hard/-5727soft"
75404,"0hard/-5721soft"
75713,"0hard/-5716soft"
75714,"0hard/-5685soft"
76016,"0hard/-5651soft"
76686,"0hard/-5629soft"
76687,"0hard/-5584soft"
76998,"0hard/-5582soft"
76998,"0hard/-5562soft"
77563,"0hard/-5538soft"
77659,"0hard/-5528soft"
77659,"0hard/-5503soft"
77660,"0hard/-5478soft"
77660,"0hard/-5474soft"
78945,"0hard/-5445soft"
79279,"0hard/-5443soft"
79280,"0hard/-5434soft"
79609,"0hard/-5411soft"
79610,"0hard/-5407soft"
80596,"0hard/-5402soft"
81216,"0hard/-5401soft"
81285,"0hard/-5398soft"
81286,"0hard/-5393soft"
81287,"0hard/-5378soft"
81287,"0hard/-5328soft"
82274,"0hard/-5275soft"
82275,"0hard/-5265soft"
82624,"0hard/-5261soft"
82943,"0hard/-5249soft"
82943,"0hard/-5224soft"
83959,"0hard/-5205soft"
84287,"0hard/-5195soft"
84942,"0hard/-5192soft"
84943,"0hard/-5169soft"
85269,"0hard/-5128soft"
85269,"0hard/-5103soft"
85270,"0hard/-5088soft"
85271,"0hard/-5083soft"
85808,"0hard/-5061soft"
85808,"0hard/-5033soft"
87861,"0hard/-5025soft"
87862,"0hard/-5020soft"
87865,"0hard/-5016soft"
87865,"0hard/-5013soft"
88215,"0hard/-5001soft"
88579,"0hard/-4997soft"
88580,"0hard/-4994soft"
88581,"0hard/-4969soft"
88581,"0hard/-4949soft"
90286,"0hard/-4942soft"
90621,"0hard/-4890soft"
91528,"0hard/-4888soft"
91529,"0hard/-4857soft"
91750,"0hard/-4834soft"
91833,"0hard/-4826soft"
92460,"0hard/-4815soft"
92600,"0hard/-4803soft"
92813,"0hard/-4793soft"
92838,"0hard/-4726soft"
93760,"0hard/-4724soft"
94828,"0hard/-4711soft"
95208,"0hard/-4704soft"
95208,"0hard/-4669soft"
95208,"0hard/-4653soft"
95209,"0hard/-4628soft"
95212,"0hard/-4624soft"
96883,"0hard/-4623soft"
97119,"0hard/-4604soft"
97124,"0hard/-4603soft"
97125,"0hard/-4578soft"
97126,"0hard/-4577soft"
97991,"0hard/-4563soft"
98287,"0hard/-4548soft"
99119,"0hard/-4510soft"
100479,"0hard/-4509soft"
100479,"0hard/-4489soft"
100897,"0hard/-4483soft"
100899,"0hard/-4468soft"
101584,"0hard/-4461soft"
101584,"0hard/-4454soft"
101919,"0hard/-4399soft"
102293,"0hard/-4385soft"
103319,"0hard/-4382soft"
103320,"0hard/-4381soft"
103321,"0hard/-4364soft"
103322,"0hard/-4359soft"
103789,"0hard/-4344soft"
104786,"0hard/-4332soft"
105422,"0hard/-4322soft"
105424,"0hard/-4307soft"
106324,"0hard/-4300soft"
106466,"0hard/-4287soft"
106466,"0hard/-4271soft"
107168,"0hard/-4266soft"
107453,"0hard/-4265soft"
107453,"0hard/-4245soft"
107531,"0hard/-4242soft"
107876,"0hard/-4235soft"
108227,"0hard/-4199soft"
108227,"0hard/-4179soft"
108230,"0hard/-4178soft"
108579,"0hard/-4171soft"
108619,"0hard/-4142soft"
108970,"0hard/-4121soft"
111481,"0hard/-4080soft"
112531,"0hard/-4046soft"
112669,"0hard/-4043soft"
113236,"0hard/-3998soft"
113621,"0hard/-3991soft"
115372,"0hard/-3960soft"
115372,"0hard/-3954soft"
115505,"0hard/-3950soft"
116248,"0hard/-3946soft"
116597,"0hard/-3945soft"
116682,"0hard/-3938soft"
117033,"0hard/-3929soft"
117428,"0hard/-3912soft"
117670,"0hard/-3901soft"
117670,"0hard/-3876soft"
117671,"0hard/-3871soft"
118343,"0hard/-3859soft"
119871,"0hard/-3849soft"
119968,"0hard/-3836soft"
120313,"0hard/-3830soft"
120319,"0hard/-3803soft"
120632,"0hard/-3791soft"
120634,"0hard/-3778soft"
121002,"0hard/-3776soft"
121557,"0hard/-3751soft"
121716,"0hard/-3737soft"
121716,"0hard/-3734soft"
121718,"0hard/-3725soft"
121719,"0hard/-3714soft"
122477,"0hard/-3701soft"
124560,"0hard/-3691soft"
125278,"0hard/-3679soft"
125608,"0hard/-3667soft"
125677,"0hard/-3662soft"
125677,"0hard/-3652soft"
125678,"0hard/-3634soft"
127158,"0hard/-3617soft"
127160,"0hard/-3602soft"
127528,"0hard/-3595soft"
127531,"0hard/-3591soft"
127989,"0hard/-3581soft"
129475,"0hard/-3580soft"
129503,"0hard/-3578soft"
129863,"0hard/-3569soft"
129865,"0hard/-3567soft"
129866,"0hard/-3566soft"
130185,"0hard/-3560soft"
130185,"0hard/-3535soft"
130223,"0hard/-3524soft"
130868,"0hard/-3502soft"
130870,"0hard/-3452soft"
133271,"0hard/-3448soft"
133271,"0hard/-3398soft"
134631,"0hard/-3388soft"
134632,"0hard/-3383soft"
135862,"0hard/-3378soft"
136342,"0hard/-3363soft"
138228,"0hard/-3356soft"
138815,"0hard/-3348soft"
139345,"0hard/-3345soft"
139345,"0hard/-3304soft"
140053,"0hard/-3287soft"
140055,"0hard/-3262soft"
141925,"0hard/-3257soft"
141932,"0hard/-3250soft"
141938,"0hard/-3239soft"
142342,"0hard/-3227soft"
142342,"0hard/-3217soft"
142729,"0hard/-3210soft"
145071,"0hard/-3203soft"
145088,"0hard/-3163soft"
145090,"0hard/-3143soft"
145524,"0hard/-3135soft"
148174,"0hard/-3113soft"
148959,"0hard/-3110soft"
148961,"0hard/-3105soft"
150152,"0hard/-3100soft"
150409,"0hard/-3080soft"
151753,"0hard/-3077soft"
151753,"0hard/-3061soft"
152538,"0hard/-3046soft"
153638,"0hard/-3039soft"
153670,"0hard/-3036soft"
153674,"0hard/-2996soft"
155617,"0hard/-2970soft"
156951,"0hard/-2957soft"
157856,"0hard/-2954soft"
157857,"0hard/-2944soft"
157858,"0hard/-2939soft"
158205,"0hard/-2918soft"
158652,"0hard/-2910soft"
158653,"0hard/-2905soft"
159423,"0hard/-2898soft"
159821,"0hard/-2893soft"
160653,"0hard/-2876soft"
161415,"0hard/-2874soft"
161428,"0hard/-2872soft"
161632,"0hard/-2833soft"
161633,"0hard/-2830soft"
161633,"0hard/-2805soft"
163841,"0hard/-2796soft"
166378,"0hard/-2781soft"
166592,"0hard/-2773soft"
167367,"0hard/-2764soft"
167369,"0hard/-2753soft"
168557,"0hard/-2749soft"
168572,"0hard/-2736soft"
168573,"0hard/-2706soft"
168574,"0hard/-2703soft"
168574,"0hard/-2685soft"
173471,"0hard/-2676soft"
174231,"0hard/-2669soft"
174457,"0hard/-2668soft"
174659,"0hard/-2664soft"
174668,"0hard/-2661soft"
174669,"0hard/-2651soft"
175041,"0hard/-2640soft"
175414,"0hard/-2617soft"
177503,"0hard/-2613soft"
177898,"0hard/-2600soft"
179108,"0hard/-2596soft"
180371,"0hard/-2594soft"
180372,"0hard/-2589soft"
180749,"0hard/-2565soft"
180750,"0hard/-2555soft"
182746,"0hard/-2523soft"
184709,"0hard/-2517soft"
184900,"0hard/-2508soft"
185542,"0hard/-2499soft"
186114,"0hard/-2497soft"
186957,"0hard/-2493soft"
187795,"0hard/-2480soft"
188183,"0hard/-2473soft"
188970,"0hard/-2458soft"
190263,"0hard/-2442soft"
190654,"0hard/-2425soft"
193837,"0hard/-2422soft"
193845,"0hard/-2420soft"
193846,"0hard/-2416soft"
194203,"0hard/-2412soft"
194215,"0hard/-2408soft"
194603,"0hard/-2403soft"
194604,"0hard/-2378soft"
195697,"0hard/-2371soft"
195698,"0hard/-2321soft"
202580,"0hard/-2300soft"
203896,"0hard/-2270soft"
205301,"0hard/-2260soft"
206193,"0hard/-2242soft"
207862,"0hard/-2239soft"
209111,"0hard/-2231soft"
209627,"0hard/-2224soft"
209987,"0hard/-2220soft"
210480,"0hard/-2215soft"
210480,"0hard/-2206soft"
211839,"0hard/-2194soft"
212269,"0hard/-2187soft"
