"timeMillisSpent","score"
278,"-324hard/-28885soft"
406,"-135hard/-31310soft"
529,"-38hard/-31340soft"
649,"-17hard/-31810soft"
759,"-10hard/-31865soft"
900,"-9hard/-31885soft"
1018,"-8hard/-31950soft"
1134,"-7hard/-31965soft"
1287,"-7hard/-31555soft"
1496,"-6hard/-32940soft"
1642,"-5hard/-34510soft"
1796,"-5hard/-34135soft"
1922,"-5hard/-34055soft"
2089,"-5hard/-34015soft"
2249,"-5hard/-33945soft"
2399,"-5hard/-32570soft"
2543,"-5hard/-32535soft"
2674,"-5hard/-32515soft"
2815,"-5hard/-32495soft"
2946,"-5hard/-32470soft"
3110,"-5hard/-32445soft"
3244,"-5hard/-32430soft"
3402,"-5hard/-32380soft"
3561,"-5hard/-32370soft"
3712,"-5hard/-32345soft"
3886,"-5hard/-32320soft"
4049,"-5hard/-32300soft"
4217,"-4hard/-32445soft"
4350,"-4hard/-32315soft"
4474,"-4hard/-32290soft"
4626,"-4hard/-32280soft"
4749,"-4hard/-32275soft"
4861,"-4hard/-32255soft"
5234,"-4hard/-32235soft"
5388,"-4hard/-32225soft"
5694,"-4hard/-32165soft"
6072,"-4hard/-32085soft"
6195,"-4hard/-32035soft"
6321,"-4hard/-32030soft"
6597,"-4hard/-32020soft"
6720,"-4hard/-32015soft"
7006,"-4hard/-31990soft"
7145,"-4hard/-31980soft"
7279,"-4hard/-31970soft"
7414,"-4hard/-31945soft"
7698,"-4hard/-31940soft"
7947,"-4hard/-31925soft"
8293,"-4hard/-31920soft"
8576,"-4hard/-31900soft"
8713,"-4hard/-31875soft"
8911,"-4hard/-31865soft"
9084,"-4hard/-31840soft"
9468,"-4hard/-31815soft"
11059,"-4hard/-31810soft"
11207,"-4hard/-31800soft"
11439,"-4hard/-31795soft"
11683,"-4hard/-31785soft"
11802,"-4hard/-31780soft"
12082,"-4hard/-31775soft"
12592,"-4hard/-31770soft"
13087,"-4hard/-31765soft"
13472,"-4hard/-31760soft"
13592,"-4hard/-31740soft"
13834,"-4hard/-31735soft"
14755,"-4hard/-31730soft"
14879,"-4hard/-31705soft"
16885,"-4hard/-31650soft"
17153,"-4hard/-31645soft"
17669,"-4hard/-31640soft"
19431,"-4hard/-31635soft"
20582,"-4hard/-31625soft"
22463,"-4hard/-31620soft"
23642,"-4hard/-31615soft"
37227,"-4hard/-31600soft"
37480,"-4hard/-31595soft"
37813,"-4hard/-31570soft"
40733,"-4hard/-31550soft"
41671,"-4hard/-31545soft"
49571,"-4hard/-31540soft"
57609,"-4hard/-31515soft"
88902,"-4hard/-31505soft"
95892,"-4hard/-31470soft"
103574,"-4hard/-31465soft"
105657,"-4hard/-31460soft"
107319,"-4hard/-31440soft"
120311,"-3hard/-31680soft"
128074,"-3hard/-31675soft"
128302,"-3hard/-31665soft"
131380,"-3hard/-31660soft"
135325,"-3hard/-31650soft"
181455,"-3hard/-31645soft"
