"timeMillisSpent","score"
4643,"0hard/-2146500soft"
4652,"0hard/-2145300soft"
4660,"0hard/-2144750soft"
4674,"0hard/-2144300soft"
4691,"0hard/-2143600soft"
4738,"0hard/-2143250soft"
4933,"0hard/-2142450soft"
5220,"0hard/-2142300soft"
6442,"0hard/-2142230soft"
44136,"0hard/-2141840soft"
44708,"0hard/-2140970soft"
45983,"0hard/-2140840soft"
47588,"0hard/-2140820soft"
131769,"0hard/-2140430soft"
133169,"0hard/-2140300soft"
247251,"0hard/-2139540soft"
247319,"0hard/-2139190soft"
247393,"0hard/-2138810soft"
248588,"0hard/-2138670soft"
288162,"0hard/-2138500soft"
